instances/tai01.txt;instances/tai02.txt;instances/tai03.txt;instances/tai04.txt;instances/tai05.txt;instances/tai06.txt;instances/tai07.txt;instances/tai08.txt;instances/tai09.txt;instances/tai10.txt;instances/tai11.txt;instances/tai12.txt;instances/tai13.txt;instances/tai14.txt;instances/tai15.txt;instances/tai16.txt;instances/tai17.txt;instances/tai18.txt;instances/tai19.txt;instances/tai20.txt;instances/tai21.txt;instances/tai22.txt;instances/tai23.txt;instances/tai24.txt;instances/tai25.txt;instances/tai26.txt;instances/tai27.txt;instances/tai28.txt;instances/tai29.txt;instances/tai30.txt;instances/tai31.txt;instances/tai32.txt;instances/tai33.txt;instances/tai34.txt;instances/tai35.txt;instances/tai36.txt;instances/tai37.txt;instances/tai38.txt;instances/tai39.txt;instances/tai40.txt;instances/tai41.txt;instances/tai42.txt;instances/tai43.txt;instances/tai44.txt;instances/tai45.txt;instances/tai46.txt;instances/tai47.txt;instances/tai48.txt;instances/tai49.txt;instances/tai50.txt;instances/tai51.txt;instances/tai52.txt;instances/tai53.txt;instances/tai54.txt;instances/tai55.txt;instances/tai56.txt;instances/tai57.txt;instances/tai58.txt;instances/tai59.txt;instances/tai60.txt
1278;1359;1081;1298;1235;1195;1239;1206;1230;1108;1594;1677;1508;1379;1419;1406;1487;1547;1602;1608;2307;2113;2336;2235;2308;2232;2283;2216;2243;2189;2724;2838;2624;2759;2864;2834;2732;2686;2564;2784;3133;2975;2960;3103;3087;3099;3199;3096;2987;3156;4003;3884;3810;3889;3759;3843;3900;3859;3872;3927
1278;1359;1081;1299;1235;1195;1239;1206;1230;1108;1596;1669;1506;1379;1422;1397;1488;1557;1608;1608;2315;2113;2340;2242;2298;2241;2290;2217;2244;2188;2724;2838;2627;2759;2864;2832;2736;2686;2566;2782;3131;2981;2960;3110;3079;3095;3169;3096;2995;3161;4041;3875;3816;3874;3794;3812;3899;3882;3911;3939
1278;1359;1081;1293;1243;1195;1239;1206;1230;1108;1596;1672;1507;1379;1424;1397;1484;1550;1602;1604;2311;2110;2341;2235;2291;2239;2283;2215;2242;2185;2724;2838;2627;2762;2864;2834;2736;2686;2562;2782;3120;2976;2958;3114;3070;3095;3197;3096;2995;3178;3993;3880;3829;3933;3794;3837;3866;3885;3911;3907
1278;1359;1081;1295;1239;1195;1239;1206;1230;1108;1594;1669;1507;1382;1419;1401;1487;1552;1606;1598;2309;2120;2342;2235;2301;2238;2283;2217;2242;2185;2724;2838;2629;2762;2864;2834;2735;2686;2561;2782;3128;2979;2960;3110;3106;3062;3165;3096;2957;3185;4018;3879;3805;3908;3761;3864;3900;3885;3911;3898
1278;1359;1081;1297;1243;1195;1239;1206;1230;1108;1597;1671;1507;1377;1419;1409;1486;1553;1601;1607;2315;;;;;;;;;;2724;;;;;;;;;;3134;;;;;;;;;;3997;;;;;;;;;
1278;1359;1081;1299;1243;1195;1239;1206;1230;1108;1594;1671;1508;1379;1419;1402;1484;1556;1602;1608;2312;;;;;;;;;;2724;;;;;;;;;;3133;;;;;;;;;;4054;;;;;;;;;
1278;1359;1081;1294;1239;1195;1239;1206;1230;1108;1583;1672;1509;1379;1422;1397;1487;1544;1602;1598;2311;;;;;;;;;;2724;;;;;;;;;;3110;;;;;;;;;;4014;;;;;;;;;
1278;1359;1081;1293;1235;1195;1239;1206;1230;1108;1595;1674;1503;1384;1422;1401;1484;1545;1603;1609;2305;;;;;;;;;;2724;;;;;;;;;;3128;;;;;;;;;;4025;;;;;;;;;
1278;1359;1081;1293;1237;1195;1239;1206;1230;1108;1592;1672;1505;1379;1419;1401;1486;1553;1604;1604;2313;;;;;;;;;;2724;;;;;;;;;;3111;;;;;;;;;;4034;;;;;;;;;
1278;1359;1081;1293;1235;1195;1239;1206;1230;1108;1592;1671;1506;1378;1419;1403;1484;1552;1608;1609;2311;;;;;;;;;;2724;;;;;;;;;;3107;;;;;;;;;;3996;;;;;;;;;
1278;1359;1081;1297;1237;1195;1239;1206;1230;1108;1591;1672;1509;1381;1419;1402;1484;1555;1607;1602;2311;;;;;;;;;;2724;;;;;;;;;;3118;;;;;;;;;;4001;;;;;;;;;
1278;1359;1081;1293;1239;1195;1239;1206;1230;1108;1591;1659;1509;1380;1422;1402;1484;1550;1602;1603;2320;;;;;;;;;;2724;;;;;;;;;;3114;;;;;;;;;;4040;;;;;;;;;
1278;1359;1081;1293;1243;1195;1239;1206;1230;1108;1601;1672;1508;1383;1422;1406;1487;1554;1602;1609;2312;;;;;;;;;;2724;;;;;;;;;;3080;;;;;;;;;;4004;;;;;;;;;
1278;1359;1081;1293;1235;1195;1239;1206;1230;1108;1600;1668;1507;1379;1419;1407;1484;1552;1599;1591;2317;;;;;;;;;;2724;;;;;;;;;;3124;;;;;;;;;;4013;;;;;;;;;
1278;1359;1081;1293;1235;;;;;;1594;;;;;;;;;;2307;;;;;;;;;;2724;;;;;;;;;;3109;;;;;;;;;;4019;;;;;;;;;
1278;1359;1081;1293;1243;;;;;;1598;;;;;;;;;;2312;;;;;;;;;;2724;;;;;;;;;;3119;;;;;;;;;;4012;;;;;;;;;
1278;1359;1081;1297;1244;;;;;;1597;;;;;;;;;;2312;;;;;;;;;;2724;;;;;;;;;;3126;;;;;;;;;;4018;;;;;;;;;
1278;1359;1081;1293;1235;;;;;;1599;;;;;;;;;;2305;;;;;;;;;;2724;;;;;;;;;;3119;;;;;;;;;;3989;;;;;;;;;
1278;;;;;;;;;;1595;;;;;;;;;;2311;;;;;;;;;;2724;;;;;;;;;;3126;;;;;;;;;;4030;;;;;;;;;
1278;;;;;;;;;;1597;;;;;;;;;;2310;;;;;;;;;;2724;;;;;;;;;;3126;;;;;;;;;;3998;;;;;;;;;
1278;;;;;;;;;;1592;;;;;;;;;;2313;;;;;;;;;;2724;;;;;;;;;;3131;;;;;;;;;;3994;;;;;;;;;
1278;;;;;;;;;;1588;;;;;;;;;;2313;;;;;;;;;;2729;;;;;;;;;;3135;;;;;;;;;;4029;;;;;;;;;
1278;;;;;;;;;;1598;;;;;;;;;;2307;;;;;;;;;;2724;;;;;;;;;;3091;;;;;;;;;;4010;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2305;;;;;;;;;;2724;;;;;;;;;;3112;;;;;;;;;;4002;;;;;;;;;
1278;;;;;;;;;;1596;;;;;;;;;;2302;;;;;;;;;;2724;;;;;;;;;;3120;;;;;;;;;;4030;;;;;;;;;
1278;;;;;;;;;;1599;;;;;;;;;;2318;;;;;;;;;;2724;;;;;;;;;;3121;;;;;;;;;;4025;;;;;;;;;
1278;;;;;;;;;;1593;;;;;;;;;;2319;;;;;;;;;;2724;;;;;;;;;;3107;;;;;;;;;;4016;;;;;;;;;
1278;;;;;;;;;;1594;;;;;;;;;;2306;;;;;;;;;;2724;;;;;;;;;;3123;;;;;;;;;;4026;;;;;;;;;
1278;;;;;;;;;;1587;;;;;;;;;;2306;;;;;;;;;;2724;;;;;;;;;;3119;;;;;;;;;;4019;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2310;;;;;;;;;;2724;;;;;;;;;;3131;;;;;;;;;;3991;;;;;;;;;
1278;;;;;;;;;;1583;;;;;;;;;;2307;;;;;;;;;;2724;;;;;;;;;;3126;;;;;;;;;;4004;;;;;;;;;
1278;;;;;;;;;;1591;;;;;;;;;;2312;;;;;;;;;;2724;;;;;;;;;;3122;;;;;;;;;;3979;;;;;;;;;
1278;;;;;;;;;;1582;;;;;;;;;;2314;;;;;;;;;;2729;;;;;;;;;;3107;;;;;;;;;;3986;;;;;;;;;
1278;;;;;;;;;;1598;;;;;;;;;;2318;;;;;;;;;;2724;;;;;;;;;;3135;;;;;;;;;;4016;;;;;;;;;
1278;;;;;;;;;;1582;;;;;;;;;;2315;;;;;;;;;;2724;;;;;;;;;;3135;;;;;;;;;;4040;;;;;;;;;
1278;;;;;;;;;;1587;;;;;;;;;;2305;;;;;;;;;;2724;;;;;;;;;;3126;;;;;;;;;;3997;;;;;;;;;
1278;;;;;;;;;;1594;;;;;;;;;;2305;;;;;;;;;;2724;;;;;;;;;;3124;;;;;;;;;;4033;;;;;;;;;
1278;;;;;;;;;;1597;;;;;;;;;;2314;;;;;;;;;;2724;;;;;;;;;;3131;;;;;;;;;;4042;;;;;;;;;
1278;;;;;;;;;;1594;;;;;;;;;;2315;;;;;;;;;;2724;;;;;;;;;;3126;;;;;;;;;;4024;;;;;;;;;
1278;;;;;;;;;;1592;;;;;;;;;;2305;;;;;;;;;;2724;;;;;;;;;;3133;;;;;;;;;;3994;;;;;;;;;
1278;;;;;;;;;;1598;;;;;;;;;;2312;;;;;;;;;;2724;;;;;;;;;;3126;;;;;;;;;;4010;;;;;;;;;
1278;;;;;;;;;;1592;;;;;;;;;;2306;;;;;;;;;;2724;;;;;;;;;;3122;;;;;;;;;;4011;;;;;;;;;
1278;;;;;;;;;;1587;;;;;;;;;;2310;;;;;;;;;;2724;;;;;;;;;;3135;;;;;;;;;;4001;;;;;;;;;
1278;;;;;;;;;;1595;;;;;;;;;;2313;;;;;;;;;;2724;;;;;;;;;;3124;;;;;;;;;;3997;;;;;;;;;
1278;;;;;;;;;;1588;;;;;;;;;;2316;;;;;;;;;;2729;;;;;;;;;;3128;;;;;;;;;;3999;;;;;;;;;
1278;;;;;;;;;;1595;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3091;;;;;;;;;;4015;;;;;;;;;
1278;;;;;;;;;;1599;;;;;;;;;;2317;;;;;;;;;;2724;;;;;;;;;;3117;;;;;;;;;;4016;;;;;;;;;
1278;;;;;;;;;;1594;;;;;;;;;;2322;;;;;;;;;;2724;;;;;;;;;;3135;;;;;;;;;;4014;;;;;;;;;
1278;;;;;;;;;;1592;;;;;;;;;;2322;;;;;;;;;;2724;;;;;;;;;;3135;;;;;;;;;;4020;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2321;;;;;;;;;;2724;;;;;;;;;;3135;;;;;;;;;;4025;;;;;;;;;
1278;;;;;;;;;;1592;;;;;;;;;;2316;;;;;;;;;;2724;;;;;;;;;;3135;;;;;;;;;;4049;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2317;;;;;;;;;;2724;;;;;;;;;;3135;;;;;;;;;;3965;;;;;;;;;
1278;;;;;;;;;;1594;;;;;;;;;;2318;;;;;;;;;;2729;;;;;;;;;;3126;;;;;;;;;;3998;;;;;;;;;
1278;;;;;;;;;;1598;;;;;;;;;;2307;;;;;;;;;;2724;;;;;;;;;;3126;;;;;;;;;;3997;;;;;;;;;
1278;;;;;;;;;;1592;;;;;;;;;;2315;;;;;;;;;;2724;;;;;;;;;;3126;;;;;;;;;;4028;;;;;;;;;
1278;;;;;;;;;;1596;;;;;;;;;;2315;;;;;;;;;;2724;;;;;;;;;;3129;;;;;;;;;;3997;;;;;;;;;
1278;;;;;;;;;;1592;;;;;;;;;;2315;;;;;;;;;;2724;;;;;;;;;;3108;;;;;;;;;;4011;;;;;;;;;
